Net,Sta,Lat,Lon,Elev,Start,End
IV,MURB,43.2630 N,12.5246 E,845,2004,
IV,NARO,43.6108 N,12.5806 E,272,2011,
IV,NDIM,44.8873 N,10.8987 E,19,2013,
IV,NEVI,44.5834 N,10.3163 E,480,2012,
IV,NOCI,40.7888 N,17.0644 E,420,2005,
IV,NOV,38.0278 N,15.1367 E,775,2007,
IV,NOVE,44.7982 N,10.7161 E,16,2003,2015
IV,NRCA,42.8336 N,13.1143 E,927,2003,
IV,OFFI,42.9350 N,13.6857 E,320,2006,
IV,OPPE,45.3082 N,11.1724 E,20,2009,
IV,ORI,40.0510 N,16.4504 E,375,2003,
IV,ORO,45.6268 N,7.9813 E,1157,2003,2011
IV,ORZI,45.4056 N,9.9307 E,83,2010,
IV,OSKI,40.8210 N,9.1083 E,896,2006,2012
IV,OSSC,43.5236 N,11.2458 E,452,2011,
IV,OVO,40.8275 N,14.3967 E,584,2003,
IV,PALZ,40.9441 N,15.9602 E,450,2006,
IV,PAOL,41.0312 N,14.5675 E,715,2010,
IV,PARC,43.6486 N,12.2386 E,580,2008,
IV,PCRO,43.6077 N,13.5323 E,165,2009,
IV,PE3,43.6960 N,12.4963 E,530,2011,
IV,PESA,43.9410 N,12.8402 E,221,2003,
IV,PETRA,37.8335 N,14.1148 E,1547,2012,
IV,PIEI,43.5357 N,12.5350 E,665,2003,
IV,PIGN,41.2000 N,14.1799 E,398,2011,
IV,PII,43.7219 N,10.5250 E,66,2003,
IV,PIO1,43.1782 N,12.9838 E,460,2011,
IV,PIPA,39.4851 N,16.8158 E,479,2008,
IV,PLAC,38.4494 N,16.4383 E,602,2005,
IV,PLLN,37.9926 N,14.1431 E,787,2009,
IV,PLMA,44.0498 N,9.8537 E,22,2010,
IV,POFI,41.7174 N,13.7120 E,878,2007,
IV,PP3,43.3778 N,13.6095 E,21,2013,
IV,PR01,43.8481 N,12.0606 E,627,2011,2011
IV,PR02,43.8586 N,12.1569 E,520,2011,2011
IV,PRMA,44.7637 N,10.3131 E,78,2008,
IV,PSB1,41.2234 N,14.8108 E,551,2003,
IV,PTCC,46.4075 N,13.3540 E,700,2003,
IV,PTF,43.9603 N,11.0693 E,533,2011,
IV,PTMD,36.7885 N,11.9934 E,626,2010,
IV,PTQR,42.0219 N,13.4006 E,957,2003,
IV,PTRJ,41.3641 N,14.5290 E,1027,2007,
IV,PTRP,40.5215 N,16.0612 E,1077,2003,
IV,PTS,36.8070 N,11.9930 E,100,2003,2010
IV,PZZT,44.1313 N,10.8617 E,1236,2005,2013
IV,QLNO,44.3242 N,8.3459 E,547,2003,
IV,RAFF,37.2225 N,14.3624 E,310,2005,
IV,RAVA,44.7559 N,11.1188 E,15,2003,
IV,RCAV,41.8473 N,12.9453 E,940,2014,
IV,RDP,41.7604 N,12.7103 E,760,2005,
IV,RE01,44.5810 N,10.3129 E,522,2008,2009
IV,RE02,44.5672 N,10.4673 E,500,2008,2009
IV,RE03,44.5240 N,10.3938 E,545,2008,2009
IV,RE04,44.6083 N,10.5205 E,255,2008,2009
IV,RE05,44.4018 N,10.3270 E,1007,2008,2009
IV,RE06,44.4511 N,10.2304 E,680,2008,2009
IV,RE07,44.5259 N,10.1984 E,745,2008,2009
IV,RE08,44.5237 N,10.6998 E,301,2008,2009
IV,RESU,37.6468 N,14.0568 E,785,2008,
IV,RFI,41.3006 N,13.9847 E,780,2003,2011
IV,RIBO,42.9490 N,11.0465 E,50,2017,
IV,RM01,42.2767 N,13.3356 E,1350,2009,2009
IV,RM02,42.3430 N,13.3283 E,787,2009,2009
IV,RM03,42.2744 N,13.4717 E,1483,2009,2009
IV,RM04,42.1885 N,13.4515 E,1109,2009,2009
IV,RM05,42.4387 N,13.2588 E,890,2009,2009
IV,RM06,42.3776 N,13.2438 E,848,2009,2009
IV,RM07,42.4050 N,13.4065 E,1133,2009,2009
IV,RM08,42.3719 N,13.5047 E,1054,2009,2009
IV,RM09,42.4355 N,13.1865 E,1127,2009,2010
IV,RM10,42.5090 N,13.1864 E,951,2009,2010
IV,RM11,42.5382 N,13.2772 E,931,2009,2010
IV,RM12,42.2620 N,13.3924 E,1412,2009,2009
IV,RM13,42.1816 N,13.5810 E,1282,2009,2009
IV,RM14,42.3454 N,13.5722 E,1105,2009,2009
IV,RM15,42.2823 N,13.2452 E,1223,2009,2009
IV,RM16,42.2348 N,13.5321 E,1311,2009,2009
IV,RM18,42.5499 N,13.5318 E,853,2009,2009
IV,RM20,42.5249 N,13.1264 E,804,2009,2009
